method,parameter,value
rejection,b,0.986
sabc_4d,b,0.9858
loclin,b,0.9252
neuralnet,b,0.6746000000000001
lm,b,0.9456
rf,b,0.9866
loess,b,0.948
rfboot,b,0.954
average,b,1
