method,parameter,value
rejection,mu,0.9825
sabc_4d,mu,0.9807
sabc_1d,mu,0.9825
loclin,mu,0.9473
neuralnet,mu,0.9355
lm,mu,0.9633
rf,mu,0.9261
rfboot,mu,0.9988
loess,mu,0.9509
average,mu,0.997
rejection,sigma2,0.978
sabc_4d,sigma2,0.9771
sabc_1d,sigma2,0.9766
loclin,sigma2,0.9461999999999999
neuralnet,sigma2,0.9396
lm,sigma2,0.9450999999999999
rf,sigma2,0.9133
rfboot,sigma2,0.9543
loess,sigma2,0.9493
average,sigma2,0.9517
