method,parameter,value
rejection,ma1,0.9746
sabc_4d,ma1,0.9666
sabc_1d,ma1,0.9652
loclin,ma1,0.9046000000000001
neuralnet,ma1,0.6604
lm,ma1,0.9454
rf,ma1,0.972
rfboot,ma1,0.9578
loess,ma1,0.9486
average,ma1,0.9894
rejection,ma2,0.9636
sabc_4d,ma2,0.9718
sabc_1d,ma2,0.9678
loclin,ma2,0.909
neuralnet,ma2,0.7554
lm,ma2,0.9436
rf,ma2,0.9688
rfboot,ma2,0.9561999999999999
loess,ma2,0.9496
average,ma2,1
