method,parameter,value
rejection,mean,0.956
sabc_4d,mean,0.9488
sabc_1d,mean,0.94
loclin,mean,0.5392
neuralnet,mean,0.0744
lm,mean,0.9408
rf,mean,0.976
loess,mean,0.9448
rfboot,mean,0.956
average,mean,1
rejection,sd,0.468
sabc_4d,sd,0.9464
sabc_1d,sd,0.9272
loclin,sd,0.2464
neuralnet,sd,0.009600000000000001
lm,sd,0.9543999999999999
rf,sd,0.9776
loess,sd,0.928
rfboot,sd,0.9688
average,sd,1
