method,parameter,value
rejection,theta1,0.9673999999999999
sabc_4d,theta1,0.967
sabc_1d,theta1,0.9722
loclin,theta1,0.9666
neuralnet,theta1,0.2354
lm,theta1,0.941
rf,theta1,0.9632
rfboot,theta1,0.9558
loess,theta1,0.9438
average,theta1,0.9394
rejection,theta2,0.9563999999999999
sabc_4d,theta2,0.9608
sabc_1d,theta2,0.9623999999999999
loclin,theta2,0.9646
neuralnet,theta2,0.1286
lm,theta2,0.945
rf,theta2,0.949
rfboot,theta2,0.9528
loess,theta2,0.9453999999999999
average,theta2,0.9558
