method,parameter,value
rejection,a,0.9793999999999999
sabc_4d,a,0.977
sabc_1d,a,0.9778
loclin,a,0.9380000000000001
neuralnet,a,0.9364
lm,a,0.9412
rf,a,0.8894
loess,a,0.7528
rfboot,a,0.9523999999999999
average,a,1000
rejection,b,0.966
sabc_4d,b,0.958
sabc_1d,b,0.9611999999999999
loclin,b,0.942
neuralnet,b,0.9418
lm,b,0.9384
rf,b,0.8892
loess,b,0.764
rfboot,b,0.9586
average,b,1000
