method,parameter,value
rejection,mu,0.9688
sabc_4d,mu,0.9688
loclin,mu,0.9048
neuralnet,mu,0.9688
lm,mu,0.9408
rf,mu,0.9808
loess,mu,0.9504
rfboot,mu,0.956
average,mu,1
rejection,sigma,0.972
sabc_4d,sigma,0.972
loclin,sigma,0.8904
neuralnet,sigma,0.9624
lm,sigma,0.948
rf,sigma,0.9768
loess,sigma,0.9471999999999999
rfboot,sigma,0.952
average,sigma,1
