method,parameter,value
rejection,theta1,0.9400000000000001
sabc_4d,theta1,0.9256
sabc_1d,theta1,0.9256
loclin,theta1,0.9431999999999999
neuralnet,theta1,0.8784
lm,theta1,0.9488
rf,theta1,0.8928
rfboot,theta1,0.9576
loess,theta1,0.952
average,theta1,1
rejection,theta2,0.9504
sabc_4d,theta2,0.928
sabc_1d,theta2,0.9352
loclin,theta2,0.9424
neuralnet,theta2,0.8688
lm,theta2,0.9424
rf,theta2,0.888
rfboot,theta2,0.9623999999999999
loess,theta2,0.9496
average,theta2,1
