method,parameter,value
rejection,mean,0.945
sabc_4d,mean,0.9392
sabc_1d,mean,0.9376
loclin,mean,0.9431999999999999
neuralnet,mean,0.9158000000000001
lm,mean,0.942
rf,mean,0.9014
rfboot,mean,0.9698
loess,mean,0.9514
average,mean,1
rejection,sd,0.9456
sabc_4d,sd,0.9396
sabc_1d,sd,0.941
loclin,sd,0.9406
neuralnet,sd,0.9118
lm,sd,0.9416
rf,sd,0.9014
rfboot,sd,0.9686
loess,sd,0.952
average,sd,1
