method,parameter,value
rejection,mu,0.9783999999999999
sabc_4d,mu,0.972
sabc_1d,mu,0.9712
loclin,mu,0.9208
neuralnet,mu,0.8848
lm,mu,0.9416
rf,mu,0.928
rfboot,mu,0.9591999999999999
loess,mu,0.9488
average,mu,1
rejection,sigma,0.9792
sabc_4d,sigma,0.9712
sabc_1d,sigma,0.968
loclin,sigma,0.9216000000000001
neuralnet,sigma,0.8952
lm,sigma,0.9504
rf,sigma,0.9232
rfboot,sigma,0.9488
loess,sigma,0.9464
average,sigma,1
