method,parameter,value
rejection,mu,0.9833999999999999
sabc_4d,mu,0.9798
sabc_1d,mu,0.9793999999999999
loclin,mu,0.9376
neuralnet,mu,0.9394
lm,mu,0.9444
rf,mu,0.9034
rfboot,mu,0.9514
loess,mu,0.948
average,mu,1
rejection,sigma,0.9838
sabc_4d,sigma,0.9806
sabc_1d,sigma,0.9808
loclin,sigma,0.9414
neuralnet,sigma,0.9372
lm,sigma,0.943
rf,sigma,0.9044
rfboot,sigma,0.9556
loess,sigma,0.9491999999999999
average,sigma,1
