method,parameter,value
rejection,a,0.9672
sabc_4d,a,0.9888
sabc_1d,a,0.9864
loclin,a,0.9784
neuralnet,a,0.9632
lm,a,0.9408
rf,a,0.9984
rfboot,a,0.9904
loess,a,0.9544
average,a,1
rejection,b,0.9576
sabc_4d,b,0.9744
sabc_1d,b,0.968
loclin,b,0.98
neuralnet,b,0.9768
lm,b,0.9448
rf,b,0.9984
rfboot,b,0.992
loess,b,0.9504
average,b,1
