method,parameter,value
rejection,mu,0.9803999999999999
sabc_4d,mu,0.9793999999999999
loclin,mu,0.924
neuralnet,mu,0.9823999999999999
lm,mu,0.9428
rf,mu,0.976
loess,mu,0.9498
rfboot,mu,0.9556
average,mu,1
rejection,sigma,0.9788
sabc_4d,sigma,0.984
loclin,sigma,0.931
neuralnet,sigma,0.981
lm,sigma,0.9458
rf,sigma,0.9798
loess,sigma,0.9481999999999999
rfboot,sigma,0.9566
average,sigma,1
