method,parameter,value
rejection,a,0.9776
sabc_4d,a,0.9872
sabc_1d,a,0.9928
loclin,a,0.9544
neuralnet,a,0.9488
lm,a,0.9408
rf,a,0.9872
rfboot,a,0.9824
loess,a,0.9608
average,a,1
rejection,b,0.9504
sabc_4d,b,0.9696
sabc_1d,b,0.96
loclin,b,0.96
neuralnet,b,0.9552
lm,b,0.9376
rf,b,0.9888
rfboot,b,0.9824
loess,b,0.9608
average,b,1
