method,parameter,value
rejection,ma1,0.964
sabc_4d,ma1,0.9424
sabc_1d,ma1,0.944
loclin,ma1,0.8136
neuralnet,ma1,0.26
lm,ma1,0.9488
rf,ma1,0.9632
rfboot,ma1,0.9488
loess,ma1,0.9471999999999999
average,ma1,0.988
rejection,ma2,0.9488
sabc_4d,ma2,0.9528
sabc_1d,ma2,0.94
loclin,ma2,0.8384
neuralnet,ma2,0.4064
lm,ma2,0.9432
rf,ma2,0.9672
rfboot,ma2,0.9543999999999999
loess,ma2,0.9496
average,ma2,1
