method,parameter,value
rejection,theta,0.9624
sabc_4d,theta,0.9712
sabc_1d,theta,0.9632
loclin,theta,0.9392
neuralnet,theta,0.948
lm,theta,0.9352
rf,theta,0.9448
rfboot,theta,0.9808
loess,theta,0.9424
average,theta,1
rejection,rho,0.9592
sabc_4d,rho,0.9584
sabc_1d,rho,0.9584
loclin,rho,0.9512
neuralnet,rho,0.9504
lm,rho,0.9472
rf,rho,0.9464
rfboot,rho,0.9872
loess,rho,0.952
average,rho,1
