mean_length agelist,min_length agelist,last_length agelist,sd_length agelist,trend_length agelist,max_length agelist,snap_25_length agelist,snap_50_length agelist,snap_75_length agelist,snap_100_length agelist,snap_125_length agelist,snap_150_length agelist,snap_175_length agelist,snap_200_length agelist,snap_225_length agelist,snap_250_length agelist,snap_275_length agelist,snap_300_length agelist,snap_325_length agelist,snap_350_length agelist,snap_375_length agelist,snap_400_length agelist,snap_425_length agelist,snap_450_length agelist,snap_475_length agelist,snap_500_length agelist,snap_525_length agelist,snap_545_length agelist
0.5072727272727273,0.0,0.0,2.4934353480110016,-0.005314241459551031,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347.7781818181818,0.0,260.0,196.59241147928287,0.8417650426492768,556.0,25.0,38.0,67.0,90.0,140.0,177.0,257.0,357.0,480.0,556.0,556.0,556.0,556.0,430.0,521.0,556.0,556.0,554.0,377.0,280.0,332.0,274.0
0.43454545454545457,0.0,0.0,2.200472526264069,-0.004561313350697779,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19090909090909092,0.0,0.0,1.177790339001228,-0.00201914416546531,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.025454545454545455,0.0,0.0,0.5964190661601445,-0.0002761722127405975,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278.6818181818182,0.0,158.0,175.02003686945426,0.6937406675123494,482.0,17.0,32.0,47.0,65.0,83.0,116.0,160.0,222.0,403.0,482.0,482.0,482.0,482.0,336.0,398.0,482.0,482.0,482.0,286.0,217.0,231.0,166.0
82.94,0.0,37.0,66.70053863759614,0.252731077398002,197.0,11.0,11.0,10.0,15.0,15.0,31.0,29.0,40.0,55.0,84.0,131.0,170.0,197.0,115.0,114.0,153.0,195.0,188.0,91.0,41.0,50.0,38.0
253.54909090909092,0.0,152.0,145.81487749600024,0.5782798019768058,420.0,25.0,31.0,42.0,72.0,104.0,130.0,141.0,252.0,378.0,419.0,419.0,419.0,418.0,285.0,342.0,418.0,418.0,418.0,274.0,193.0,221.0,155.0
0.025454545454545455,0.0,0.0,0.5964190661601445,-0.0002761722127405975,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316.4709090909091,0.0,206.0,167.69480413995296,0.6570037767217262,499.0,22.0,48.0,91.0,172.0,182.0,206.0,207.0,290.0,450.0,499.0,499.0,499.0,499.0,360.0,480.0,499.0,499.0,499.0,329.0,244.0,271.0,200.0
0.04909090909090909,0.0,0.0,0.6976252516469981,-0.000531031056751802,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.07636363636363637,0.0,0.0,0.7637142817390752,-0.000821664624586288,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7763636363636364,0.0,0.0,2.750038917831305,-0.011667789134689858,16.0,7.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
