method,parameter,value
rejection,b,0.10994841288533455
sabc_4d,b,0.05855382441665626
loclin,b,0.05724413200284396
neuralnet,b,0.06714076768836431
lm,b,0.05431640771691147
rf,b,0.059020055668682785
loess,b,0.053526223790162225
rfboot,b,0.05536920574553347
average,b,0.5781000950073198
