mean_dead,mean_recovered,mean_infected,min_dead,min_recovered,min_infected,last_dead,last_recovered,last_infected,sd_dead,sd_recovered,sd_infected,trend_dead,trend_recovered,trend_infected,max_dead,max_recovered,max_infected,snap_25_dead,snap_25_recovered,snap_25_infected,snap_50_dead,snap_50_recovered,snap_50_infected,snap_75_dead,snap_75_recovered,snap_75_infected,snap_100_dead,snap_100_recovered,snap_100_infected,snap_125_dead,snap_125_recovered,snap_125_infected,snap_150_dead,snap_150_recovered,snap_150_infected,snap_175_dead,snap_175_recovered,snap_175_infected,snap_200_dead,snap_200_recovered,snap_200_infected,snap_225_dead,snap_225_recovered,snap_225_infected,snap_250_dead,snap_250_recovered,snap_250_infected,snap_275_dead,snap_275_recovered,snap_275_infected,snap_300_dead,snap_300_recovered,snap_300_infected,snap_325_dead,snap_325_recovered,snap_325_infected,snap_350_dead,snap_350_recovered,snap_350_infected,snap_375_dead,snap_375_recovered,snap_375_infected,snap_400_dead,snap_400_recovered,snap_400_infected
1.918,0.0,0.058,0.0,0.0,0.0,2.0,0.0,0.0,0.37319699891612906,0.0,0.2804211119013649,0.0009417157668630642,0.0,-0.0006599546398185595,2.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
190.514,0.962,7.602,0.0,0.0,0.0,211.0,1.0,0.0,56.89627232077735,0.3695348427415277,27.547551542741875,0.21962579050316194,0.00047899391597566363,-0.07654864219456874,211.0,3.0,190.0,5.0,0.0,58.0,141.0,1.0,52.0,201.0,1.0,4.0,206.0,1.0,3.0,210.0,1.0,1.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0,211.0,1.0,0.0
0.97,0.0,0.074,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.4780418391731016,0.0003492013968055852,0.0,-0.0008488833955335819,1.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.97,0.0,0.028,0.0,0.0,0.0,1.0,0.0,0.0,0.17058722109231886,0.0,0.16497272501840865,0.0003492013968055852,0.0,-0.0003252493009972042,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
99.756,0.012,7.444,0.0,0.0,0.0,113.0,0.0,0.0,34.41971039971202,0.10888526071052841,30.960472606211784,0.1397183828735314,-0.0001031044124176497,-0.07018530474121894,113.0,1.0,215.0,3.0,0.0,4.0,19.0,0.0,155.0,109.0,0.0,4.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0,113.0,0.0,0.0
434.22,4.556,15.584,0.0,0.0,0.0,482.0,5.0,0.0,131.41406165247287,1.5135600417558581,55.36962112927986,0.5112737570950279,0.00491953967815871,-0.15591489565958278,482.0,6.0,351.0,7.0,0.0,101.0,318.0,4.0,112.0,451.0,6.0,12.0,474.0,5.0,7.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0,482.0,5.0,0.0
299.576,2.69,11.602,0.0,0.0,0.0,337.0,3.0,0.0,98.0228964273144,0.9153687781435311,42.513898856726506,0.39596011184044744,0.0033399973599894375,-0.11275288301153197,337.0,4.0,279.0,2.0,0.0,18.0,124.0,1.0,191.0,313.0,3.0,15.0,330.0,3.0,4.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0,337.0,3.0,0.0
414.54,2.666,15.352,0.0,0.0,0.0,461.0,3.0,0.0,130.23339203138448,0.8777493947591225,57.6742585214589,0.4992110208440828,0.0035213420853683394,-0.15260710642842568,461.0,3.0,343.0,5.0,0.0,60.0,244.0,1.0,202.0,455.0,2.0,5.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0,461.0,3.0,0.0
133.804,0.0,6.434,0.0,0.0,0.0,148.0,0.0,0.0,40.818985582691575,0.0,25.71096349808745,0.15332874131496502,0.0,-0.0644496177984712,148.0,0.0,160.0,4.0,0.0,25.0,88.0,0.0,89.0,147.0,0.0,1.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0,148.0,0.0,0.0
645.894,7.922,20.904,0.0,0.0,0.0,743.0,9.0,0.0,236.52203864333666,2.8149451149178817,75.21254406015088,1.007507854031415,0.011366781467125855,-0.1925996183984736,743.0,9.0,455.0,3.0,0.0,4.0,42.0,2.0,359.0,641.0,9.0,74.0,728.0,9.0,6.0,740.0,9.0,2.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0,743.0,9.0,0.0
