mean_count lineageA,mean_count lineageB,mean_count lineageC,mean_count lineageD,mean_count turtles,min_count lineageA,min_count lineageB,min_count lineageC,min_count lineageD,min_count turtles,last_count lineageA,last_count lineageB,last_count lineageC,last_count lineageD,last_count turtles,sd_count lineageA,sd_count lineageB,sd_count lineageC,sd_count lineageD,sd_count turtles,trend_count lineageA,trend_count lineageB,trend_count lineageC,trend_count lineageD,trend_count turtles,max_count lineageA,max_count lineageB,max_count lineageC,max_count lineageD,max_count turtles,snap_50_count lineageA,snap_50_count lineageB,snap_50_count lineageC,snap_50_count lineageD,snap_50_count turtles,snap_100_count lineageA,snap_100_count lineageB,snap_100_count lineageC,snap_100_count lineageD,snap_100_count turtles,snap_150_count lineageA,snap_150_count lineageB,snap_150_count lineageC,snap_150_count lineageD,snap_150_count turtles
0.13,0.14,0.185,0.14,0.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7437069315261264,0.7282856582413229,0.9647668112036155,0.818779579618347,3.206395951843766,-0.0037935948398709956,-0.0040636015900397515,-0.005363384084602116,-0.004084602115052872,-0.01730518262956572,5.0,5.0,6.0,6.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.185,0.14,0.225,0.21,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8606828684248298,0.7748548251124188,0.8968695557326034,0.9305374790947363,3.3915188337970457,-0.005325883147078675,-0.004078601965049128,-0.006366909172729314,-0.006019650491262279,-0.021791044776119404,5.0,6.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.135,0.105,0.11,0.13,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7789576368455483,0.6737766692309874,0.6840321629865103,0.6950539547402104,2.773012801989908,-0.003938348458711464,-0.003080327008175203,-0.0032235805895147393,-0.0037785944648616203,-0.014020850521263027,5.0,5.0,6.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.51,33.545,47.915,35.27,148.24,5.0,5.0,5.0,5.0,20.0,40.0,42.0,62.0,45.0,189.0,13.315025347328469,13.134609815293311,22.02516231495239,14.88781716706646,63.260670246212264,0.18758868971724293,0.1863729093227331,0.310673516837921,0.21203630090752265,0.8966714167854197,40.0,42.0,62.0,45.0,189.0,23.0,21.0,33.0,23.0,100.0,40.0,42.0,62.0,45.0,189.0,40.0,42.0,62.0,45.0,189.0
25.775,21.625,18.33,11.94,77.67,5.0,5.0,5.0,5.0,20.0,30.0,25.0,22.0,14.0,91.0,7.035223877034729,5.775324666198429,5.976713143526288,3.228993651278987,21.85179855297947,0.09654466361659039,0.07819770494262358,0.08252156303907597,0.045382134553363825,0.30264606615165374,30.0,25.0,22.0,14.0,91.0,22.0,18.0,16.0,9.0,65.0,30.0,25.0,22.0,14.0,91.0,30.0,25.0,22.0,14.0,91.0
0.215,0.22,0.165,0.145,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8418877597399744,0.9064215354899658,0.7795992560283785,0.7899208821141487,3.2372789499825316,-0.006041401035025876,-0.006268656716417915,-0.004746868671716795,-0.004218855471386782,-0.021275781894547357,5.0,5.0,5.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.92,2.96,2.075,5.135,12.09,1.0,1.0,1.0,4.0,10.0,1.0,3.0,1.0,5.0,10.0,1.6714065932620974,0.7799999999999984,1.9389107766991218,0.7725121358270047,4.238148180514703,-0.021141528538213456,-0.0013635340883522036,-0.025024375609390238,-0.003615840396009904,-0.051145278631965795,9.0,5.0,8.0,9.0,26.0,3.0,1.0,2.0,5.0,11.0,1.0,3.0,1.0,5.0,10.0,1.0,3.0,1.0,5.0,10.0
0.175,0.12,0.12,0.11,0.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9297176990893455,0.731846978541276,0.724982758415671,0.7056202944927276,3.0478476011769344,-0.0050813770344258595,-0.0035115877896947406,-0.0035100877521938,-0.003225080627015677,-0.01532813320333008,6.0,5.0,5.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.54,0.34,0.93,0.43,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2760877712759455,1.1850738373620335,1.635573293985932,1.2145369487998394,5.0766524403390125,-0.013780844521113025,-0.009484737118427958,-0.02155403885097127,-0.011599789994749869,-0.056419410485262125,5.0,6.0,6.0,5.0,22.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.495,9.995,10.065,5.875,33.43,5.0,5.0,5.0,5.0,20.0,8.0,11.0,11.0,6.0,36.0,0.8246059665076407,1.8041549268286323,1.6002421691731596,0.33071891388307384,4.460392359423089,0.011314032850821278,0.023684842121053023,0.021566789169729244,0.0032813320333008314,0.05984699617490442,8.0,11.0,11.0,6.0,36.0,7.0,9.0,9.0,6.0,31.0,8.0,11.0,11.0,6.0,36.0,8.0,11.0,11.0,6.0,36.0
