mean_get-gini,mean_uninsured-budget,mean_all-budget,mean_fraction-active,mean_fraction-active-uninsured,min_get-gini,min_uninsured-budget,min_all-budget,min_fraction-active,min_fraction-active-uninsured,last_get-gini,last_uninsured-budget,last_all-budget,last_fraction-active,last_fraction-active-uninsured,sd_get-gini,sd_uninsured-budget,sd_all-budget,sd_fraction-active,sd_fraction-active-uninsured,trend_get-gini,trend_uninsured-budget,trend_all-budget,trend_fraction-active,trend_fraction-active-uninsured,max_get-gini,max_uninsured-budget,max_all-budget,max_fraction-active,max_fraction-active-uninsured,snap_25_get-gini,snap_25_uninsured-budget,snap_25_all-budget,snap_25_fraction-active,snap_25_fraction-active-uninsured,snap_50_get-gini,snap_50_uninsured-budget,snap_50_all-budget,snap_50_fraction-active,snap_50_fraction-active-uninsured,snap_75_get-gini,snap_75_uninsured-budget,snap_75_all-budget,snap_75_fraction-active,snap_75_fraction-active-uninsured
0.08999999999999998,0.09184184472934472,0.04262953622099391,0.118,0.13674999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2348829495727602,0.2635111265608168,0.12172013432237234,0.2943025653982646,0.33696170034589906,-0.004553375337533752,-0.004674593566194227,-0.0021654891784422844,-0.00613897389738974,-0.007076357635763576,0.94,1.242051282051282,0.5836144578313254,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.04249999999999992,10.40265,10.653604,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.02,21.015000000000004,21.415599999999998,1.0,1.0,0.018993419913222585,6.125992353998657,6.264752420757265,0.0,0.0,-0.00046558655865586537,0.21193163816381638,0.2168634707470747,6.449398882167594e-19,6.449398882167594e-19,0.08,21.015000000000004,21.415599999999998,1.0,1.0,0.06,5.14875,5.2867000000000015,1.0,1.0,0.04,10.376249999999997,10.6785,1.0,1.0,0.03,15.817499999999999,16.20380000000001,1.0,1.0
0.0,14.654369999999995,14.771748,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,29.322000000000003,29.54879999999998,1.0,1.0,0.0,8.54649417966806,8.614488987867825,0.0,0.0,0.0,0.2960738613861386,0.2984295445544555,6.449398882167594e-19,6.449398882167594e-19,0.0,29.322000000000003,29.54879999999998,1.0,1.0,0.0,7.395999999999998,7.458399999999997,1.0,1.0,0.0,14.797999999999998,14.919199999999991,1.0,1.0,0.0,22.201000000000004,22.38040000000001,1.0,1.0
0.8195999999999993,0.2629126470588236,2.658885153846154,0.20550000000000054,0.16950000000000012,0.0,0.0,0.0,0.03,0.0,0.97,0.0,5.416666666666667,0.03,0.0,0.3100965011089294,0.45859245024651,1.7972415009341876,0.34773948582236125,0.3599232557087698,0.0071203120312031175,-0.010540145602795573,0.057890609210571396,-0.008444704470447047,-0.008353135313531358,0.99,1.7519999999999993,5.793333333333333,1.0,1.0,0.89,0.68,0.8053846153846151,0.13,0.05,0.97,0.0,3.2866666666666666,0.03,0.0,0.97,0.0,4.363333333333333,0.03,0.0
0.10230000000000011,7.955374999999999,8.165111999999999,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.05,16.756249999999998,17.265699999999995,1.0,1.0,0.05051445337722658,4.752033839249779,4.897381675003082,0.0,0.0,-0.0010063606360636063,0.16395931593159316,0.1689916915691569,6.449398882167594e-19,6.449398882167594e-19,0.24,16.756249999999998,17.265699999999995,1.0,1.0,0.15,4.05625,4.045100000000002,1.0,1.0,0.09,8.35,8.5048,1.0,1.0,0.07,12.239999999999998,12.502199999999998,1.0,1.0
0.014100000000000008,12.806090000000005,13.019822000000003,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.01,25.764500000000005,26.120000000000005,1.0,1.0,0.00511761663276959,7.48428771723803,7.601168104147942,0.0,0.0,-0.0001335133513351335,0.2592302460246025,0.2633105934593459,6.449398882167594e-19,6.449398882167594e-19,0.02,25.764500000000005,26.120000000000005,1.0,1.0,0.02,6.428999999999999,6.549599999999999,1.0,1.0,0.01,12.798499999999995,13.0826,1.0,1.0,0.01,19.393250000000005,19.717699999999994,1.0,1.0
0.6240999999999999,0.5123852551249918,0.5351722529360439,0.31449999999999995,0.2710000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3826384586002822,0.434143065782561,0.38077100401918407,0.3591639597732489,0.3530885158143776,-0.000614881488148819,-0.008868271752758465,-0.006273023526879968,-0.011154575457545755,-0.010460246024602462,0.99,1.6630000000000003,1.4339999999999993,1.0,1.0,0.76,0.4789473684210526,0.3531147540983606,0.61,0.475,0.91,0.9799999999999999,0.8125,0.12,0.075,0.97,0.15,0.4142857142857142,0.07,0.05
0.6794999999999998,1.3932940654520918,1.5550362945674308,0.41830000000000134,0.2947499999999995,0.0,0.0,0.0,0.2,0.075,0.82,2.0833333333333335,3.285,0.2,0.075,0.24753737091598904,0.9062016020865913,1.0658150683437095,0.31095033365474933,0.3443888608825784,0.006489108910891086,0.024737346246770427,0.03282219059001726,-0.009150975097509747,-0.009672217221722169,0.97,3.4166666666666665,3.8540000000000005,1.0,1.0,0.57,0.4593749999999999,0.503030303030303,0.66,0.4,0.82,1.3500000000000003,1.3989999999999996,0.2,0.075,0.82,2.533333333333333,2.4315,0.2,0.075
0.05029999999999995,9.73802,10.328053,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.02,21.397,21.7627,1.0,1.0,0.029238844026397502,6.1878196919108746,6.310510338815001,0.0,0.0,-0.0007000900090009001,0.21333561356135614,0.2182667596759676,6.449398882167594e-19,6.449398882167594e-19,0.17,21.397,21.7627,1.0,1.0,0.05,4.648,5.066699999999999,1.0,1.0,0.05,9.365,10.161,1.0,1.0,0.03,14.794999999999998,15.673800000000005,1.0,1.0
0.0557,0.11151249999999999,0.08515961403508772,0.1396,0.13824999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791438249005527,0.31651421448135575,0.24007904843959266,0.34149061480515086,0.3405043134822239,-0.002571077107710771,-0.00568466096609661,-0.004332747969533797,-0.007204560456045605,-0.0071465646564656485,0.99,1.41225,1.089400000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
