run,seed,sigma,model,beta,delta,eta,mu,phi,varI.Y.l1,varI.I.l1,varI.const,varI.Y.l1.1,varI.I.l1.1,varI.const.1,varC.Y.l1,varC.C.l1,varC.const,varC.Y.l1.1,varC.C.l1.1,varC.const.1,varr.Y.l1,varr.r.l1,varr.const,varr.Y.l1.1,varr.r.l1.1,varr.const.1,varL.Y.l1,varL.L_s.l1,varL.const,varL.Y.l1.1,varL.L_s.l1.1,varL.const.1,lmfit..Intercept.,lmfit.C,lmfit.r,ar..Intercept.,ar.L.Y..1.5.1,ar.L.Y..1.5.2,ar.L.Y..1.5.3,ar.L.Y..1.5.4,ar.L.Y..1.5.5,cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15
560,560,0.0213404212612938,rbc,0.920582389992064,0.0239559982963162,1.97327673912342,0.309918319796745,0.980708168951126,-0.150317227629141,0.950887498083184,-0.162765927206561,0.950876747755591,0.0138637219948765,-0.0272515099480864,0.204979627105979,0.773696078602136,-0.0157486587104496,1.12806816723664,-0.163327697486171,-0.0272515099480864,-0.0399635632815614,0.930561863613748,-0.0272515099551638,0.971202382225028,0.0624786420233722,-0.0272515099480864,-0.0106227936761307,0.937023776128337,-0.00876859321840873,0.964740469710438,0.214257197416324,-0.0272515099480864,-1.45038928587789e-16,1.04119389371036,0.398293624188012,-0.0236194096618244,1.00398710093577,0.027066732944967,-0.0570817352699641,0.313827496246328,-0.316324941401488,0.756401072919605,0.690424690871793,1.53366496874206,0.0942397729653719,0.0502936224713003,0.654374589774309,1.11512882217014,0.0228320596848664,0.0274808972815606,6.46441481785115,0.935489864186753,0.319049002880829,0.176922671017689,0.0544339118464613,0.0173900803593463
561,561,0.0259884465843486,rbc,0.944696849594024,0.0239747529836441,2.10157365058647,0.292311827569327,0.923514124467501,-0.581767976561487,1.03563483582566,-0.0905347018589088,0.875779142046536,0.0248013106975611,-0.0156002935733955,0.154240712419098,0.798523170865675,-0.00684673302151694,1.11289080700652,-0.212310354262424,-0.0156002935733955,-0.098356371304144,0.978932356153535,-0.0156002935737903,0.932481621718661,0.0872293802711164,-0.0156002935733955,-0.0402888096131597,1.01083352510128,-0.00675828574075308,0.900580452770918,0.274991560389604,-0.0156002935733955,3.62597321469472e-17,1.17682674484486,0.483508531630104,-0.00855507306489038,1.01196302524955,-0.0873004283859106,0.0792597451145482,0.0531571922079283,-0.103826762347181,0.556242572509531,0.400177270312029,1.89223162573657,0.176425548975806,0.120491987229576,0.329097780701343,1.0086496129258,0.0266514435022599,0.0548777263852141,9.45609034463115,1.45855913377676,0.682179517957677,0.300018320223976,0.115634797455757,0.0506582345347806
562,562,0.013748898248456,rbc,0.910776261828369,0.0236534990083048,2.01636637339233,0.313749038432033,0.930555499231215,0.231904523598427,0.717593784324432,0.208625113468908,1.00694303900748,-0.017810612735609,0.0275251474885098,0.0201450423998323,0.971971350661506,0.0138905239225204,0.752565472670409,0.236566953601465,0.0275251474885098,-0.066732234641631,0.759400662728944,0.0275251474885929,0.965136160602971,-0.0931875336857627,0.0275251474885098,-0.00226980990252108,0.735404397060036,0.0103714303043048,0.989132426271879,-0.310998701805885,0.0275251474885098,-5.80155714351155e-16,1.11288605170491,0.438383742331051,0.0377443931774901,0.847980194017203,0.0899911220602055,0.00560312583351516,-0.0212033183034661,0.038186134603946,0.144304247941917,0.115929237405541,0.521191326485779,0.0348740502264295,0.0215839801324649,0.0980924685973031,0.352843605355509,0.0154282576501054,0.0135678703305097,2.75724620706341,0.293160049615414,0.128056828862255,0.0403850685506218,0.0147918042211586,0.00609760318796161
563,563,0.0275580440783221,rbc,0.900017537578298,0.0248424283355771,2.03414005249357,0.286534292667455,0.963059196347142,-0.625765736653673,0.852745544069979,0.0477609554126282,0.888362529949754,0.00169775352196079,0.0066245463350858,0.109817446925228,0.826940806640665,0.00372748199636079,0.91416726737907,-0.0241069839073552,0.00662454633508581,-0.128211023110668,0.849707517878394,0.00662454633512009,0.891400556141341,0.00920225807274509,0.00662454633508582,-0.0366220867641701,0.851047790548028,0.00227197330762621,0.890060283471706,0.0307395703804497,0.0066245463350858,4.07921986653156e-17,1.05886984095466,0.404197952732623,0.00498258717786989,0.976891793051127,0.0337155320537129,-0.211396501651315,0.0128740534087638,0.0867444009415495,0.180143448732196,0.142527159898197,0.71427002119738,0.072305506253778,0.0294999330945117,0.121330549616686,0.443505091227527,0.0347698448931333,0.0166230801739886,4.55895402569336,0.605287221601908,0.212342779312798,0.0878004598535007,0.029436702373341,0.0100984523300343
564,564,0.0254879715770367,rbc,0.98414741283888,0.0261252148192877,1.95887097086385,0.31370924204346,0.940131321602024,-0.782615589381364,1.17390921493095,0.080218443258117,0.729852451049348,0.0740437018442018,0.0250123969287447,0.0806859853910089,0.841418700079794,0.00919614449811723,1.06234296590051,-0.258446813006959,0.0250123969287446,-0.15900272858013,1.04253683652719,0.0250123948600709,0.861224829453117,0.106096694688683,0.0250123969287447,-0.0858846734104692,1.09986551716902,0.0114913333680392,0.803896148811285,0.355716782865724,0.0250123969287447,-1.81298660734736e-16,1.28504976016702,0.527534197376752,0.0127968641473013,0.882824000964392,0.164028381795415,-0.0160055033129706,-0.0367893881573779,-0.0787354569512895,0.455780545490909,0.228290907673316,1.24982474400728,0.307876475391813,0.165283103240239,0.14246442442143,0.527865085024932,0.0857139375287405,0.0623574232885214,3.76979833171615,1.083326627804,0.524541396620376,0.374818924556506,0.161412685323751,0.0747808816343261
565,565,0.0189491743064648,rbc,0.952256206884689,0.0245494447603525,2.02120711732754,0.319632271523522,0.879278367563439,-1.42852230845079,1.11867511147036,0.00998983667952153,0.724042659946022,0.0388650244447435,0.00175812712133929,0.116652739900556,0.790232304789705,0.00065332691625954,1.05248546662668,-0.289577782235916,0.00175812712133931,-0.21532240512707,1.0207074784184,0.00175812712133991,0.822010292997983,0.122866936892423,0.00175812712133931,-0.10736396853772,1.07981008702416,0.000823849903986815,0.762907684392223,0.388329951426855,0.00175812712133932,6.79869977755259e-17,1.25643806956161,0.533102698038817,0.000700566749938127,1.03299385114221,0.0131125122949502,-0.223846411295521,0.0186705038787357,0.0273157252815949,0.214813341947595,0.113731986249043,0.967956179930426,0.134901108101695,0.0753764027233074,0.0746790741849657,0.404709692475581,0.0373330589333989,0.0291217703492903,5.1646258339335,0.861866797661716,0.420013105063449,0.165060938405116,0.0727565288003933,0.0344920957337446
566,566,0.0156511800819798,rbc,0.938969988524739,0.0237314226673852,2.10949348363504,0.312738868354373,0.95868341031207,-1.0028759202088,0.983840981775147,-0.119325683947798,0.795306083708462,0.017028291216986,-0.0215315502999665,0.0939222973564461,0.806990517792948,-0.0111120511888232,0.972156547690662,-0.159822172765214,-0.0215315502999665,-0.19359426960124,0.95175213221926,-0.0215315598416102,0.827394933264349,0.0622801983466618,-0.0215315502999665,-0.0669900589035196,0.966812730572391,-0.00788005426370245,0.812334334911218,0.211326951935747,-0.0215315502999665,1.81298660734736e-17,1.10403696034053,0.430225917232803,-0.0150183972292023,0.873504205621221,-0.0280914194880425,-0.00159440699936056,0.0602753956190606,-0.0323105407189214,0.0940341157520766,0.0636966446893352,0.378772054495603,0.0551121278743003,0.0229436153776828,0.0485594074982049,0.205769980570248,0.0234417863617985,0.0114479893083235,2.00251497710063,0.352359968438321,0.130837937379219,0.0679446033899685,0.0239516301713976,0.00869390693871901
567,567,0.0270713264653459,rbc,0.917589022125891,0.0228523754826846,2.18266107884152,0.291276548507928,0.954441912426755,-0.11208860023863,0.912676752728986,-0.020019811840592,0.960915838825231,0.00683003172373199,-0.00289911101307839,0.161772279702344,0.81914103824936,-0.00155046896254915,1.05445155330486,-0.0867056827558936,-0.00289911101307839,-0.0486036709624215,0.898877210871707,-0.00289911101307862,0.974715380682511,0.0333652439537995,-0.00289911101307839,-0.0102570041972222,0.905846721005246,-0.00105054736500713,0.967745870548972,0.111308574633972,-0.00289911101307839,2.71947991102104e-16,1.08740713159831,0.418445516714565,-0.00190388653974759,0.98541490596948,-0.0095333658008036,-0.0689300941451551,0.131433658268089,-0.0590855901527996,0.745801428340585,0.654595885173813,1.90363483399221,0.0812272879741643,0.0710460889234787,0.595823769376257,1.40069438564331,0.0159946012346639,0.0457815262120392,8.28834821799082,0.909341251500412,0.391773905137414,0.152551866311578,0.0508140964013635,0.0196802552420366
568,568,0.0206462232188787,rbc,0.977850543964419,0.0241160340891575,2.1359328695972,0.275822611503177,0.866117781777676,-0.431608373704167,0.966143458048007,0.0272222426628089,0.870530426732863,0.00880477102842715,0.00664481920096951,0.0392205064057174,0.918713690979801,0.00195408727830757,0.917960193801068,-0.0386249960397785,0.00664481920096952,-0.138994405220436,0.946798221391292,0.00664481998697353,0.889875663389576,0.0167258125517861,0.00664481920096951,-0.0604920525062294,0.957338690112169,0.00361012242842145,0.8793351946687,0.0501865313651994,0.00664481920096951,-2.2662332591842e-17,1.37531215490695,0.595552509040432,0.00792469521221404,0.946625291959827,-0.150778488132161,0.229560605487108,-0.0665602428798286,-0.0710608000967368,0.210878622724635,0.104087400846684,0.679353101936142,0.113719536295196,0.082189604702196,0.0689541204077087,0.258210979238279,0.0155384467004507,0.02703958816848,2.52683019916789,0.544422865721312,0.324123115900955,0.155064952758722,0.0755629936022182,0.0424450418556792
569,569,0.013107394268529,rbc,0.948802354133402,0.0233074805149576,2.01325611437336,0.284724704566849,0.893404588178471,-1.04155407683775,0.997708787342745,-0.103788366284401,0.804582333553369,0.0170496410103879,-0.01715036733665,0.0863625573602609,0.840702962709715,-0.00659601566970061,0.9615881581864,-0.139956183622643,-0.01715036733665,-0.187920697705687,0.954632650646631,-0.0171503673366749,0.847658470249484,0.060102667084996,-0.01715036733665,-0.0819986813338717,0.980659146331157,-0.0082084209050134,0.821631974564958,0.179955048235249,-0.01715036733665,1.81298660734736e-17,1.2284434913939,0.52754175117442,-0.0139720411592798,0.822825367273214,0.203390959722621,-0.111975941234262,-0.00528340376790402,-0.0537704466923629,0.107955266135105,0.0633482919501468,0.474122616290856,0.0571243302182984,0.0346921185650185,0.0466166899989354,0.200693773509434,0.0115295566978099,0.0130126449792472,2.71863071500846,0.431400274865952,0.212653424856676,0.0814360593044564,0.0354603583371314,0.0168607461459169
